Line,Time,Flow,Limit
Aus_5.To.Aus_2,11,-418.1016189496841,1053.0
Aus_5.To.Aus_2,12,-417.50200876324436,1053.0
Aus_5.To.Aus_2,13,-405.6546095271534,1053.0
Aus_5.To.Aus_2,14,-399.30482319398584,1053.0
Aus_5.To.Aus_2,15,-392.918440663585,1053.0
Aus_5.To.Aus_2,16,-391.4576492987157,1053.0
Aus_5.To.Aus_2,17,-390.76988720683374,1053.0
Aus_5.To.Aus_2,18,-385.2050206052686,1053.0
Aus_5.To.Aus_2,19,-385.3147996334054,1053.0
Aus_5.To.Aus_2,20,-385.8953959057,1053.0
Aus_5.To.Aus_2,21,-377.455930410458,1053.0
Aus_5.To.Aus_2,22,-384.6220368624337,1053.0
Aus_5.To.Aus_2,23,-381.72996849603703,1053.0
